"Statistic Label","Year","Sex Label","Age 85","Age 86","Age 87","Age 88","Age 89","Age 90","Age 91","Age 92","Age 93","Age 94","Age 95","Age 96","Age 97","Age 98","Age 99","Age 100","Age 101","Age 102","Age 103","Age 104","Age 105+"
"Mid-year population estimate",2016,"Females",3650,3390,3032,2626,2344,2032,1675,1374,1183,885,650,467,312,200,153,96,70,32,23,12,15
"Mid-year population estimate",2016,"Males",2353,1891,1683,1371,1185,948,740,567,415,292,223,160,84,40,34,15,11,4,6,1,0
"Mid-year population estimate",2016,"All persons",6003,5281,4715,3997,3529,2980,2415,1941,1598,1177,873,627,396,240,187,111,81,36,29,13,15
"Mid-year population estimate",2017,"Females",3784,3315,3031,2709,2324,2120,1747,1391,1093,919,661,487,315,215,135,97,62,46,17,16,14
"Mid-year population estimate",2017,"Males",2395,2089,1630,1451,1174,981,770,580,441,308,224,160,111,58,28,21,9,7,2,3,1
"Mid-year population estimate",2017,"All persons",6179,5404,4661,4160,3498,3101,2517,1971,1534,1227,885,647,426,273,163,118,71,53,19,19,15
"Mid-year population estimate",2018,"Females",3859,3450,2962,2683,2354,2100,1778,1428,1113,860,685,501,336,202,136,83,60,34,21,5,12
"Mid-year population estimate",2018,"Males",2481,2133,1835,1371,1233,981,786,618,445,341,220,159,102,74,29,14,10,6,5,1,2
"Mid-year population estimate",2018,"All persons",6340,5583,4797,4054,3587,3081,2564,2046,1558,1201,905,660,438,276,165,97,70,40,26,6,14
"Mid-year population estimate",2019,"Females",3722,3568,3153,2656,2355,2227,1790,1494,1165,865,674,500,379,228,135,90,47,38,27,8,6
"Mid-year population estimate",2019,"Males",2520,2255,1907,1600,1144,1065,795,608,486,345,250,159,119,58,47,19,7,6,3,3,1
"Mid-year population estimate",2019,"All persons",6242,5823,5060,4256,3499,3292,2585,2102,1651,1210,924,659,498,286,182,109,54,44,30,11,7
"Mid-year population estimate",2020,"Females",3941,3409,3251,2844,2280,2086,1878,1527,1220,916,662,519,341,278,137,87,54,25,21,12,5
"Mid-year population estimate",2020,"Males",2583,2242,1994,1647,1380,1012,836,603,459,346,246,173,98,65,40,28,8,5,0,0,1
"Mid-year population estimate",2020,"All persons",6524,5651,5245,4491,3660,3098,2714,2130,1679,1262,908,692,439,343,177,115,62,30,21,12,6
"Mid-year population estimate",2021,"Females",4028,3607,3070,2932,2518,2186,1727,1514,1209,946,680,495,377,240,188,94,53,32,15,12,9
"Mid-year population estimate",2021,"Males",2770,2298,1953,1743,1403,1083,835,674,476,354,260,166,119,63,45,25,18,2,3,0,0
"Mid-year population estimate",2021,"All persons",6798,5905,5023,4675,3921,3269,2562,2188,1685,1300,940,661,496,303,233,119,71,34,18,12,9
"Mid-year population estimate",2022,"Females",4128,3702,3282,2765,2570,2180,1870,1448,1216,942,710,492,347,258,158,110,58,35,15,12,10
"Mid-year population estimate",2022,"Males",2852,2466,2031,1703,1479,1119,891,668,505,360,251,177,106,80,39,22,14,10,1,1,0
"Mid-year population estimate",2022,"All persons",6980,6168,5313,4468,4049,3299,2761,2116,1721,1302,961,669,453,338,197,132,72,45,16,13,10
"Mid-year population estimate",2023,"Females",4053,3811,3326,2940,2430,2262,1841,1545,1136,943,715,523,349,235,171,104,68,37,16,5,8
"Mid-year population estimate",2023,"Males",2979,2556,2157,1761,1445,1209,923,702,506,383,261,177,119,73,51,24,16,7,5,0,0
"Mid-year population estimate",2023,"All persons",7032,6367,5483,4701,3875,3471,2764,2247,1642,1326,976,700,468,308,222,128,84,44,21,5,8
"Mid-year population estimate",2024,"Females",4180,3701,3460,2981,2619,2114,1909,1543,1265,911,746,520,379,258,156,102,60,41,20,9,7
"Mid-year population estimate",2024,"Males",2973,2656,2249,1878,1516,1205,968,745,532,381,289,184,122,80,50,28,15,8,2,2,0
"Mid-year population estimate",2024,"All persons",7153,6357,5709,4859,4135,3319,2877,2288,1797,1292,1035,704,501,338,206,130,75,49,22,11,7
